Código Cliente,nome_cliente,volume_total,preco_liquido_ponderado,margem_pct_ponderada,frequencia_mensal,taxa_devolucao,produtos,cluster
9450,VIACAO JEQUIE CIDADE SOL LTDA,0.6000000000000001,14045.999999999998,0.21622525986045849,2.0,0.0,2,0
9430,ROTA TRANSPORTES RODOVIARIOS LTDA,6.800000000000001,14252.236764705882,0.15089984327537442,1.5263157894736843,0.03333333333333333,6,0
9414,CETREL S.A.,4.45,11627.480898876403,0.16678658791483716,2.2,0.0,11,0
9257,HIDROCON-HIDROG. CONSULTORES LTDA,3.43,12268.201166180757,0.25115892540695767,4.6,0.0,8,0
9193,VIACAO AGUIA AZUL LTDA,0.08,12955.0,0.15438054805094556,1.0,0.0,1,0
9180,BRASQUIMICA TRANSPORTES RODOVIARIOS,0.9400000000000001,15105.468085106382,0.1930314089444854,1.5,0.1,6,0
9171,TRANSAMERICA DE HOTEIS NORDESTE LTD,1.2,10820.266666666666,0.24881549438091483,1.0,0.0,1,0
9110,COMPANHIA SUL SERGIPANA DE ELETRICI,17.6,10484.809659090908,0.1453024166726051,1.0,0.0,1,0
1785263,CENTRAIS ELETRICAS BRASILEIRAS SA E,1.75,13304.57142857143,0.18446205385903877,1.6666666666666667,0.0,7,0
1785257,R E D MINERACAO E CONSTRUCAO LTDA,10.15,14671.458128078815,0.10266560924230082,3.1666666666666665,0.0,13,0
1785224,CONSORCIO ARIPUANA,2.16,9704.921296296296,0.1751688600142253,4.0,0.0,4,0
1785210,YAKULT S/A. INDUSTRIA E COMERCIO,0.36,11349.583333333334,0.17829582583795292,1.75,0.0,4,0
1785193,RODOJUNIOR TRANSPORTES LTDA,10.8,12924.305555555555,0.1345839915462182,1.7692307692307692,0.0,6,0
1785181,CONSTRUTORA UNICA DO BRASIL LTDA,1.35,12390.044444444444,0.14103198744990003,2.75,0.0,4,0
1785002,M.M. E N. TERMINAIS DE CARGAS LTDA.,5.04,12434.549603174604,0.1714180264186463,1.8461538461538463,0.04,10,0
1784993,RODOVIARIO SHALLOON DE GUARULHOS LO,1.0,12638.5,0.13136606401076076,1.0,0.0,1,0
1784992,JOTASOL COMERCIO E SERVICOS LTDA,0.1,12387.4,0.20181797633078774,1.0,0.0,1,0
1784965,CONCREMINAS CONCRETOS LTDA,0.6,9673.95,0.12941973030664827,1.0,0.0,1,0
1784963,CA LOCACAO E TRANSPORTES LTDA,1.2200000000000002,10565.524590163932,0.1456484669439889,3.6666666666666665,0.0,11,0
1784959,E C P DA SILVALTDA,0.9,13599.011111111111,0.24496143918961427,1.8,0.0,5,0
1784862,CICLUS AMAZONIA S.A.,7.4799999999999995,13349.939839572195,0.14451896726887453,1.8888888888888888,0.0,9,0
9882,COLETIVOS SAO LUCAS LIMITADA,0.2,13503.949999999999,0.206746914791598,1.0,0.0,1,0
9807,TRANSBAHIA TRANSPORTES LTDA,8.14,12833.594594594595,0.16770222425670647,2.413793103448276,0.0,6,0
9800,COPENOR COMPANHIA PETROQUIMICA DO N,2.74,12339.062043795619,0.18423628243697027,1.3333333333333333,0.0,7,0
1881473,S C DISTRIBUIDORA DE MATERIAL DE CO,1.2000000000000002,14564.074999999997,0.20310078051644198,1.0,0.0,1,0
10335,ROTAS DE VIACAO DO TRIANGULO LTDA -,0.3,11497.133333333333,0.11211200473161426,1.0,0.0,1,0
10333,ROTAS DE VIACAO DO TRIANGULO LTDA -,3.84,14985.783854166668,0.1235577259767547,4.166666666666667,0.0,13,0
10324,CIDADE DAS ROSAS TRANSPORTE COLETIV,6.8500000000000005,12241.764963503649,0.14406896386416299,1.4090909090909092,0.0,10,0
10287,RIMA INDUSTRIAL S/A,2.11,12685.876777251186,0.1607915657969455,1.3125,0.0,8,0
10286,RIMA INDUSTRIAL S/A,6.0,11347.163333333332,0.17108901519880593,2.2083333333333335,0.017241379310344827,26,0
10285,RIMA INDUSTRIAL S/A,12.700000000000001,10363.487401574803,0.16348827337406335,1.5333333333333334,0.02127659574468085,22,0
10284,RIMA INDUSTRIAL S/A,9.870000000000001,10808.095238095239,0.1331308196134272,1.826086956521739,0.0196078431372549,17,0
10283,RIMA INDUSTRIAL S/A,0.79,12914.405063291139,0.17127278144903443,1.125,0.0,8,0
10282,RIMA INDUSTRIAL S/A,5.93,11616.446880269816,0.1355585127965191,2.4545454545454546,0.0,16,0
10189,LIARTE METALQUIMICA LTDA,0.3,11359.266666666668,0.1836503530157463,6.0,0.0,6,0
10070,EXPRESSO ALVORADA LTDA,5.32,10692.515037593985,0.09848748808543957,2.5,0.0,7,0
10065,COLETIVOS SAO CRISTOVAO LTDA,0.82,12886.817073170732,0.10056599720455485,2.8333333333333335,0.0,9,0
10057,INCOMFRAL - INDUSTRIA E COMERCIO DE,1.68,13905.625000000002,0.29114845182983073,1.9333333333333333,0.03333333333333333,11,0
9929,VIACAO ANDRADE LTDA,5.75,14992.133913043479,0.15623833808732393,3.0,0.0,12,0
1785264,CENTRAIS ELETRICAS BRASILEIRAS SA E,0.12000000000000001,11746.5,0.1861547411285631,1.0,0.0,2,0
10524,FRIGOBET FRIGORIFICO INDUSTRIAL BET,6.36,11378.619496855346,0.18657661215547972,2.0952380952380953,0.0,7,0
10456,SADA TRANSP.ARMAZENAGENS LTDA,0.44,10215.977272727274,0.057501284752270836,1.0,0.0,3,0
10452,URCA AUTO ONIBUS LTDA,8.870000000000001,14472.962795941374,0.1465023846509894,1.3333333333333333,0.0,5,0
10450,BRASFRIGO S/A,17.98,12556.677419354839,0.26265215437403155,1.0,0.0,1,0
10380,BRASMIX ENGENHARIA DE CONCRETO LTDA,3.21,12339.965732087228,0.17920244455558,3.4,0.0,11,0
10377,BRASMIX ENGENHARIA DE CONCRETO LTDA,4.92,12594.684959349594,0.17831273193218522,2.7,0.0,8,0
10375,BRASMIX ENGENHARIA DE CONCRETO LTDA,2.79,14931.817204301075,0.15478722038071743,4.0,0.0,11,0
10374,BRASMIX ENGENHARIA DE CONCRETO LTDA,1.56,11812.948717948719,0.15095234477594122,2.0,0.0,3,0
