cnpj_14,cnpj_basico,cnpj_ordem,cnpj_dv
15031293000494,15031293,0004,94
35283753000136,35283753,0001,36
14781342000109,14781342,0001,09
08419673000516,08419673,0005,16
02717529000156,02717529,0001,56
46874030000128,46874030,0001,28
32336808000211,32336808,0002,11
08991511000124,08991511,0001,24
05686604000319,05686604,0003,19
08432692000159,08432692,0001,59
00067365639415,00067365,6394,15
10667134000114,10667134,0001,14
04028237000131,04028237,0001,31
01464886000278,01464886,0002,78
01555725000109,01555725,0001,09
44070044000163,44070044,0001,63
12924624000184,12924624,0001,84
09112376000162,09112376,0001,62
02592351000164,02592351,0001,64
09326382000201,09326382,0002,01
02536066000479,02536066,0004,79
05167354000149,05167354,0001,49
07901411000105,07901411,0001,05
07632888000124,07632888,0001,24
15237137000131,15237137,0001,31
43008203000137,43008203,0001,37
05870208000185,05870208,0001,85
05870208000266,05870208,0002,66
13545808000104,13545808,0001,04
12216990000189,12216990,0001,89
02149861000161,02149861,0001,61
26771075000160,26771075,0001,60
63469811000156,63469811,0001,56
07961187000139,07961187,0001,39
05225198000125,05225198,0001,25
41550112000101,41550112,0001,01
41550112001922,41550112,0019,22
05386318000176,05386318,0001,76
05015767000108,05015767,0001,08
00017707676653,00017707,6766,53
26583323000149,26583323,0001,49
73336448000154,73336448,0001,54
03431716000131,03431716,0001,31
03431716000727,03431716,0007,27
29658437000107,29658437,0001,07
36669126000109,36669126,0001,09
07272222000102,07272222,0001,02
07137359000154,07137359,0001,54
29356545000117,29356545,0001,17
05241721000107,05241721,0001,07
04224860000240,04224860,0002,40
23937356000151,23937356,0001,51
07289630000177,07289630,0001,77
69374585000106,69374585,0001,06
10718163000168,10718163,0001,68
07209470000109,07209470,0001,09
10483444000774,10483444,0007,74
10483444003366,10483444,0033,66
07213670000135,07213670,0001,35
07247554000137,07247554,0001,37
19445702000107,19445702,0001,07
07776339000123,07776339,0001,23
07207822000510,07207822,0005,10
08396938000184,08396938,0001,84
17305349000134,17305349,0001,34
07667439000111,07667439,0001,11
10861456000108,10861456,0001,08
07220874000101,07220874,0001,01
10260249000351,10260249,0003,51
07957111000210,07957111,0002,10
04516387000194,04516387,0001,94
17159856007110,17159856,0071,10
07281538000160,07281538,0001,60
08397578000135,08397578,0001,35
10823545000151,10823545,0001,51
65120057000250,65120057,0002,50
06176339000120,06176339,0001,20
05975134000141,05975134,0001,41
04228626000100,04228626,0001,00
73909566000104,73909566,0001,04
09556964000195,09556964,0001,95
05863916000199,05863916,0001,99
03354650000123,03354650,0001,23
01413347000129,01413347,0001,29
41548652000142,41548652,0001,42
07366198000170,07366198,0001,70
23506376000178,23506376,0001,78
07323439000102,07323439,0001,02
06625313000111,06625313,0001,11
04259456000121,04259456,0001,21
09572788000185,09572788,0001,85
07179823000256,07179823,0002,56
16726866000114,16726866,0001,14
09524502000196,09524502,0001,96
09524502000358,09524502,0003,58
04628810000148,04628810,0001,48
04683393000136,04683393,0001,36
04683393000217,04683393,0002,17
01224164000165,01224164,0001,65
07592975000103,07592975,0001,03
04241322000183,04241322,0001,83
10567693000152,10567693,0001,52
05258321000104,05258321,0001,04
30185130000450,30185130,0004,50
09068173000116,09068173,0001,16
29841244000340,29841244,0003,40
06562219000160,06562219,0001,60
